,Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Licensed,Stream
8439,Oliver Heldens,Ferrari - Oliver Heldens Remix,0.73,0.903,1.0,-5.64,0.0427,0.00806,0.252,0.0998,0.694,124.957,188640.0,James Hype & Miggy Dela Rosa - Ferrari [Oliver Heldens Remix] (Official Live Video),Oliver Heldens,135471.0,3169.0,False,11992003.0
8440,Oliver Heldens,Gecko (Overdrive) - Radio Edit,0.609,0.885,0.0,-5.469,0.0642,0.00521,1.15e-05,0.336,0.76,124.959,165441.0,Oliver Heldens x Becky Hill - Gecko (Overdrive) [Official Music Video],FFRR,33418002.0,227356.0,True,272471387.0
8441,Oliver Heldens,Mercury,0.78,0.986,7.0,-3.446,0.0594,0.0214,0.851,0.12,0.397,130.007,225346.0,HI-LO x Space 92 - Mercury [Filth on Acid],Oliver Heldens,66747.0,2778.0,True,5707001.0
8442,Oliver Heldens,I'm Good (Blue) - Oliver Heldens Remix,0.641,0.902,7.0,-5.071,0.0417,0.0146,0.000777,0.493,0.504,128.033,186328.0,David Guetta & Bebe Rexha - I'm Good (Blue) [Oliver Heldens remix] VISUALIZER,David Guetta,693042.0,16738.0,True,4148527.0
8443,Oliver Heldens,We Don’t Need,0.739,0.858,0.0,-5.301,0.0413,0.0999,0.012,0.593,0.518,124.981,188645.0,Oliver Heldens X Piero Pirupa - We Don't Need (Remix) [Official Audio],Oliver Heldens,179248.0,6774.0,True,5899420.0
8444,Oliver Heldens,Oops,0.627,0.838,1.0,-5.717,0.146,0.0016,0.0,0.0967,0.434,122.964,168094.0,"Oliver Heldens, Karen Harding - Oops (Visualizer)",OliverHeldensVEVO,101057.0,4346.0,True,676971.0
8445,Oliver Heldens,LOW,0.678,0.807,9.0,-5.965,0.0383,0.00155,0.00284,0.292,0.271,126.024,203288.0,"Oliver Heldens, Tchami, Anabel Englund - LOW (Official Video)",Oliver Heldens,545038.0,15044.0,True,7711175.0
8446,Oliver Heldens,Deja Vu,0.87,0.532,7.0,-7.101,0.0951,0.127,8.65e-05,0.112,0.358,121.986,198704.0,Oliver Heldens X Anabel Englund - DEJA VU (Official Lyric Video),Oliver Heldens,565645.0,7423.0,True,13700682.0
8447,Tego Calderón,Pa' Que Retozen,0.815,0.856,1.0,-3.825,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667.0,Tego Calderon - Pa' Que Retozen (Pa que se lo gozen) & Metele Sazon (Official Videos HD) Reggaeton,Dj Vj Eduardo,191290992.0,807693.0,False,306204075.0
8448,Tego Calderón,Al Natural (feat. Yandel),0.924,0.782,10.0,-4.55,0.0816,0.246,0.0,0.0659,0.745,95.01,204347.0,"Tego Calderón - Al Natural (Remix) Ft. Yandel, Sech, J Balvin (Video Music)",Kelar!,6897640.0,65200.0,False,79455916.0
8449,Tego Calderón,Punto y Aparte,0.808,0.767,1.0,-4.912,0.0445,0.255,0.0197,0.0886,0.722,94.998,206493.0,tego calderon - punto y aparte (oficial video).avi,matias Carolei,524879.0,1936.0,False,81320993.0
8450,Tego Calderón,Dominicana,0.845,0.906,7.0,-3.804,0.0687,0.188,0.0512,0.0199,0.813,94.987,252693.0,Dominicana-Tego Calderon,tunche,278635.0,980.0,False,43858243.0
8453,Tego Calderón,los Disicipulos,0.629,0.893,1.0,-4.009,0.275,0.181,0.0,0.115,0.86,94.042,269559.0,Tego calderon los 12 dicipulos,jacobo giraldo,255867.0,2105.0,False,34067509.0
8455,Tego Calderón,Cuando Baila Reggaeton,0.848,0.801,10.0,-6.821,0.102,0.562,1.11e-05,0.0624,0.908,95.027,184480.0,Cuando baila reggaeton Tego calderon ft Yandel,Jeo Ortiz,683713.0,4296.0,False,19010743.0
8456,Tego Calderón,Pegaito a la Pared (feat. Plan B) - Remix,0.714,0.421,2.0,-7.277,0.516,0.0169,1.51e-05,0.117,0.307,107.964,282133.0,Tego Calderon Ft Plan B - Pegaito A La Pared (Official remix 2009*****),ThatHappens,21276788.0,78689.0,False,24099152.0
8457,David Bisbal,"Y, ¿Si Fuera Ella? - + Es +",0.348,0.536,5.0,-5.76,0.0313,0.34,0.0,0.209,0.199,150.586,250000.0,David Bisbal - Y Si Fuera Ella,DavidBisbalVEVO,8736249.0,37163.0,True,179230151.0
8458,David Bisbal,Dígale,0.57,0.474,2.0,-6.809,0.0296,0.595,0.0,0.143,0.299,130.103,262440.0,David Bisbal - Dígale,valemusic,106820580.0,314774.0,False,194589768.0
8459,David Bisbal,A Partir De Hoy,0.652,0.847,6.0,-5.031,0.0552,0.188,0.0,0.378,0.515,163.939,196803.0,"David Bisbal, Sebastián Yatra - A Partir De Hoy",DavidBisbalVEVO,382932065.0,1447835.0,True,235209182.0
8460,David Bisbal,Mi Princesa,0.463,0.376,4.0,-8.572,0.0393,0.757,0.0,0.28,0.517,147.463,202853.0,David Bisbal - Mi Princesa,DavidBisbalVEVO,87940482.0,406247.0,True,84171607.0
8461,David Bisbal,Si Tú La Quieres,0.746,0.778,8.0,-4.582,0.0696,0.147,1.52e-06,0.093,0.609,100.042,224761.0,"David Bisbal, Aitana - Si Tú La Quieres",DavidBisbalVEVO,120638769.0,728144.0,True,129495145.0
